0.69	[0.19850891410048624, 0.47377633711507294, 0.2061120086160474, 0.49192245557350567, 0.1914467925472052, 0.4569213455045642, 0.30640818524501884, 0.2858104469574583]
0.7	[0.19552491218941068, 0.47261610511252766, 0.20234248788368336, 0.48909531502423265, 0.18915177447772463, 0.4572111754341807, 0.30586968228325256, 0.2867528271405493]
0.71	[0.19303859465813358, 0.47188663227323197, 0.19897684437264404, 0.48640280021540117, 0.1874445149017121, 0.4582117945466075, 0.3026386645126548, 0.28742595584275715]
0.72	[0.19197482297403617, 0.47193810647783896, 0.19709208400646203, 0.48451803984921915, 0.18711656441717792, 0.4599948875255624, 0.29873451803984924, 0.28742595584275715]
0.73	[0.19046366326866163, 0.47089773100953636, 0.19493807215939687, 0.4819601507808293, 0.18619004757618618, 0.46033174746046035, 0.2973882606354335, 0.2870220786214324]
0.74	[0.18800712448050663, 0.46916023484398706, 0.19184168012924072, 0.47872913301023157, 0.18432285603414825, 0.45996636916310957, 0.2965805061927841, 0.2868874528809908]
0.75	[0.18694185354236953, 0.4688760997552424, 0.19022617124394184, 0.4771136241249327, 0.18376902067889192, 0.4609181948237742, 0.29375336564351107, 0.2868874528809908]
0.76	[0.1843642155561455, 0.4674807539155827, 0.1869951534733441, 0.47415185783521807, 0.1818062827225131, 0.46099476439790577, 0.29375336564351107, 0.287156704361874]
0.77	[0.18075258075258074, 0.4654012654012654, 0.18268712977921378, 0.47038233710285404, 0.17885857387636747, 0.4605245815210228, 0.29415724286483574, 0.2876952073236403]
0.78	[0.17845207859911777, 0.4651784520785991, 0.1797253634894992, 0.46849757673667203, 0.17719670825590655, 0.4619060260153969, 0.2921378567582122, 0.28877221324717284]
0.79	[0.17653766181501107, 0.4638808773224228, 0.1771674744211093, 0.46553581044695747, 0.1759123111883438, 0.46223766876086086, 0.2905223478729133, 0.28836833602584816]
0.8	[0.174374831944071, 0.4628932508738908, 0.17460958535271945, 0.46351642434033385, 0.174140708915145, 0.4622717508055854, 0.2902530963920302, 0.28890683898761443]
0.81	[0.17170218505530077, 0.4619638521715673, 0.1713785675821217, 0.46109316101238557, 0.17202702702702702, 0.46283783783783783, 0.28729133010231556, 0.28971459343026384]
0.82	[0.17049756625202814, 0.4620064899945917, 0.16976305869682284, 0.46001615508885296, 0.17123845736013035, 0.46401412275936993, 0.28554119547657514, 0.2902530963920302]
0.83	[0.16859795351358678, 0.4607982652300603, 0.1674744211093161, 0.45772751750134627, 0.1697366625733388, 0.4639104925637877, 0.2841949380721594, 0.2902530963920302]
0.84	[0.1669496705834409, 0.4605039733749915, 0.1654550350026925, 0.45638126009693053, 0.1684715558601782, 0.46470185058259084, 0.28204092622509425, 0.29092622509423804]
0.85	[0.16491897044804577, 0.45921285578101595, 0.16303177167474422, 0.45395799676898224, 0.16685037200330669, 0.46459079636263434, 0.2821755519655358, 0.29092622509423804]
0.86	[0.16267158369186643, 0.4586491839104009, 0.16033925686591277, 0.4520732364028002, 0.16507276507276508, 0.4654192654192654, 0.2802907915993538, 0.29173397953688746]
0.87	[0.1615553121577218, 0.45783132530120485, 0.15885837372105546, 0.4501884760366182, 0.16434540389972144, 0.46573816155988856, 0.27907915993537963, 0.2913301023155627]
0.88	[0.15952266648378027, 0.4567587956930252, 0.15656973613354874, 0.4483037156704362, 0.16258912344470852, 0.46553893471270796, 0.27840603123317176, 0.29173397953688746]
0.89	[0.15672257354962882, 0.4551828430024746, 0.15347334410339256, 0.4457458266020463, 0.1601123595505618, 0.46502808988764044, 0.27773290253096394, 0.29227248249865373]
0.9	[0.15509641873278235, 0.45385674931129477, 0.15158858373721054, 0.44359181475498116, 0.15877044557247602, 0.4646080090242527, 0.2762520193861066, 0.2920032310177706]
0.91	[0.15502484815019327, 0.4537548315847598, 0.15118470651588584, 0.44251480883144856, 0.15906515580736544, 0.46558073654390936, 0.27463651050080773, 0.2913301023155627]
0.92	[0.15352697095435686, 0.4529737206085754, 0.1494345718901454, 0.4408992999461497, 0.15784982935153583, 0.46572810011376564, 0.27329025309639204, 0.2914647280560043]
0.93	[0.152897144441364, 0.4521763238148045, 0.14849219170705438, 0.43914916532040926, 0.15757142857142858, 0.466, 0.2720786214324179, 0.29065697361335485]
0.94	[0.15164560477711428, 0.45160394389668096, 0.1470113085621971, 0.4378029079159935, 0.1565815887582449, 0.4663034126756524, 0.2710016155088853, 0.29079159935379645]
0.95	[0.15056007792388504, 0.4514019341821471, 0.14566505115778136, 0.436725901992461, 0.15579553635709142, 0.46709863210943126, 0.2700592353257943, 0.2910608508346796]
0.96	[0.1497490239821528, 0.45133853876185165, 0.14458804523424879, 0.43578352180936997, 0.15529207634470793, 0.4680451127819549, 0.2689822294022617, 0.2911954765751212]
0.97	[0.14903711973206807, 0.4512977951437343, 0.14378029079159935, 0.43537964458804523, 0.15469293163383546, 0.46842410196987255, 0.26777059773828754, 0.29159935379644586]
0.98	[0.14836546521374686, 0.4511036602402906, 0.1429725363489499, 0.43470651588583736, 0.15418118466898956, 0.4687862950058072, 0.26709746903607967, 0.29173397953688746]
0.99	[0.14790456866997834, 0.45112992373889316, 0.14229940764674207, 0.4340333871836295, 0.15396941005098325, 0.4696285506190823, 0.2656165858912224, 0.29173397953688746]
1.0	[0.14691245531646455, 0.4504100371486648, 0.1410877759827679, 0.4325525040387722, 0.15323877759906418, 0.46980552712384854, 0.264808831448573, 0.2914647280560043]
